       t                    x1                   y1                  x2               y2                 E         I      
           0.43000000E+01          -0.22253905E+02          -0.44797074E+00           0.20202432E+02           0.22746343E+01           0.37897445E+02           0.93557968E+00
           0.44000000E+01          -0.22907013E+02          -0.48882200E+00           0.20777357E+02           0.23134800E+01           0.37897445E+02           0.93557968E+00
           0.45000000E+01          -0.23560097E+02          -0.52967253E+00           0.21352255E+02           0.23523228E+01           0.37897445E+02           0.93557968E+00
           0.46000000E+01          -0.24213159E+02          -0.57052233E+00           0.21927126E+02           0.23911629E+01           0.37897445E+02           0.93557968E+00
           0.47000000E+01          -0.24866198E+02          -0.61137143E+00           0.22501972E+02           0.24300005E+01           0.37897445E+02           0.93557968E+00
           0.48000000E+01          -0.25519217E+02          -0.65221984E+00           0.23076795E+02           0.24688357E+01           0.37897445E+02           0.93557968E+00
           0.49000000E+01          -0.26172216E+02          -0.69306760E+00           0.23651594E+02           0.25076687E+01           0.37897445E+02           0.93557968E+00
           0.50000000E+01          -0.26825197E+02          -0.73391471E+00           0.24226372E+02           0.25464995E+01           0.37897445E+02           0.93557968E+00
           0.51000000E+01          -0.27478160E+02          -0.77476120E+00           0.24801130E+02           0.25853283E+01           0.37897445E+02           0.93557968E+00
           0.52000000E+01          -0.28131106E+02          -0.81560708E+00           0.25375868E+02           0.26241553E+01           0.37897445E+02           0.93557968E+00
           0.53000000E+01          -0.28784037E+02          -0.85645237E+00           0.25950587E+02           0.26629804E+01           0.37897445E+02           0.93557968E+00
           0.54000000E+01          -0.29436951E+02          -0.89729709E+00           0.26525288E+02           0.27018038E+01           0.37897445E+02           0.93557968E+00
           0.55000000E+01          -0.30089851E+02          -0.93814126E+00           0.27099972E+02           0.27406256E+01           0.37897445E+02           0.93557968E+00
           0.56000000E+01          -0.30742737E+02          -0.97898488E+00           0.27674639E+02           0.27794458E+01           0.37897445E+02           0.93557968E+00
           0.57000000E+01          -0.31395610E+02          -0.10198280E+01           0.28249291E+02           0.28182645E+01           0.37897445E+02           0.93557968E+00
           0.58000000E+01          -0.32048469E+02          -0.10606706E+01           0.28823928E+02           0.28570819E+01           0.37897445E+02           0.93557968E+00
           0.59000000E+01          -0.32701317E+02          -0.11015127E+01           0.29398550E+02           0.28958979E+01           0.37897445E+02           0.93557968E+00
           0.60000000E+01          -0.33354152E+02          -0.11423543E+01           0.29973158E+02           0.29347126E+01           0.37897445E+02           0.93557968E+00
           0.61000000E+01          -0.34006976E+02          -0.11831954E+01           0.30547752E+02           0.29735260E+01           0.37897445E+02           0.93557968E+00
           0.62000000E+01          -0.34659789E+02          -0.12240361E+01           0.31122334E+02           0.30123383E+01           0.37897445E+02           0.93557968E+00
           0.63000000E+01          -0.35312591E+02          -0.12648764E+01           0.31696903E+02           0.30511495E+01           0.37897445E+02           0.93557968E+00
           0.64000000E+01          -0.35965383E+02          -0.13057162E+01           0.32271460E+02           0.30899595E+01           0.37897445E+02           0.93557968E+00
           0.65000000E+01          -0.36618165E+02          -0.13465556E+01           0.32846006E+02           0.31287685E+01           0.37897445E+02           0.93557968E+00
           0.66000000E+01          -0.37270937E+02          -0.13873946E+01           0.33420540E+02           0.31675766E+01           0.37897445E+02           0.93557968E+00
           0.67000000E+01          -0.37923701E+02          -0.14282332E+01           0.33995064E+02           0.32063836E+01           0.37897445E+02           0.93557968E+00
           0.68000000E+01          -0.38576455E+02          -0.14690715E+01           0.34569577E+02           0.32451897E+01           0.37897445E+02           0.93557968E+00
           0.69000000E+01          -0.39229201E+02          -0.15099093E+01           0.35144080E+02           0.32839949E+01           0.37897445E+02           0.93557968E+00
           0.70000000E+01          -0.39881939E+02          -0.15507468E+01           0.35718573E+02           0.33227993E+01           0.37897445E+02           0.93557968E+00
           0.71000000E+01          -0.40534669E+02          -0.15915839E+01           0.36293056E+02           0.33616028E+01           0.37897445E+02           0.93557968E+00
           0.72000000E+01          -0.41187391E+02          -0.16324207E+01           0.36867531E+02           0.34004055E+01           0.37897445E+02           0.93557968E+00
           0.73000000E+01          -0.41840105E+02          -0.16732571E+01           0.37441996E+02           0.34392075E+01           0.37897445E+02           0.93557968E+00
           0.74000000E+01          -0.42492812E+02          -0.17140932E+01           0.38016453E+02           0.34780087E+01           0.37897445E+02           0.93557968E+00
           0.75000000E+01          -0.43145512E+02          -0.17549290E+01           0.38590902E+02           0.35168092E+01           0.37897445E+02           0.93557968E+00
           0.76000000E+01          -0.43798206E+02          -0.17957645E+01           0.39165342E+02           0.35556089E+01           0.37897445E+02           0.93557968E+00
           0.77000000E+01          -0.44450892E+02          -0.18365997E+01           0.39739775E+02           0.35944080E+01           0.37897445E+02           0.93557968E+00
           0.78000000E+01          -0.45103572E+02          -0.18774345E+01           0.40314200E+02           0.36332065E+01           0.37897445E+02           0.93557968E+00
           0.79000000E+01          -0.45756246E+02          -0.19182691E+01           0.40888617E+02           0.36720043E+01           0.37897445E+02           0.93557968E+00
           0.80000000E+01          -0.46408914E+02          -0.19591034E+01           0.41463028E+02           0.37108015E+01           0.37897445E+02           0.93557968E+00
           0.81000000E+01          -0.47061576E+02          -0.19999374E+01           0.42037431E+02           0.37495981E+01           0.37897445E+02           0.93557968E+00
           0.82000000E+01          -0.47714232E+02          -0.20407712E+01           0.42611827E+02           0.37883941E+01           0.37897445E+02           0.93557968E+00
           0.83000000E+01          -0.48366883E+02          -0.20816046E+01           0.43186217E+02           0.38271895E+01           0.37897445E+02           0.93557968E+00
           0.84000000E+01          -0.49019528E+02          -0.21224379E+01           0.43760600E+02           0.38659844E+01           0.37897445E+02           0.93557968E+00
           0.85000000E+01          -0.49672168E+02          -0.21632708E+01           0.44334977E+02           0.39047788E+01           0.37897445E+02           0.93557968E+00
           0.86000000E+01          -0.50324802E+02          -0.22041035E+01           0.44909348E+02           0.39435727E+01           0.37897445E+02           0.93557968E+00
           0.87000000E+01          -0.50977432E+02          -0.22449360E+01           0.45483712E+02           0.39823660E+01           0.37897445E+02           0.93557968E+00
           0.88000000E+01          -0.51630056E+02          -0.22857682E+01           0.46058071E+02           0.40211589E+01           0.37897445E+02           0.93557968E+00
           0.89000000E+01          -0.52282676E+02          -0.23266002E+01           0.46632424E+02           0.40599513E+01           0.37897445E+02           0.93557968E+00
           0.90000000E+01          -0.52935292E+02          -0.23674320E+01           0.47206772E+02           0.40987432E+01           0.37897445E+02           0.93557968E+00
           0.91000000E+01          -0.53587902E+02          -0.24082635E+01           0.47781114E+02           0.41375347E+01           0.37897445E+02           0.93557968E+00
           0.92000000E+01          -0.54240509E+02          -0.24490949E+01           0.48355451E+02           0.41763258E+01           0.37897445E+02           0.93557968E+00
           0.93000000E+01          -0.54893110E+02          -0.24899260E+01           0.48929783E+02           0.42151164E+01           0.37897445E+02           0.93557968E+00
           0.94000000E+01          -0.55545708E+02          -0.25307569E+01           0.49504110E+02           0.42539066E+01           0.37897445E+02           0.93557968E+00
           0.95000000E+01          -0.56198302E+02          -0.25715876E+01           0.50078431E+02           0.42926964E+01           0.37897445E+02           0.93557968E+00
           0.96000000E+01          -0.56850891E+02          -0.26124181E+01           0.50652748E+02           0.43314858E+01           0.37897445E+02           0.93557968E+00
           0.97000000E+01          -0.57503477E+02          -0.26532484E+01           0.51227061E+02           0.43702748E+01           0.37897445E+02           0.93557968E+00
           0.98000000E+01          -0.58156058E+02          -0.26940785E+01           0.51801368E+02           0.44090634E+01           0.37897445E+02           0.93557968E+00
           0.99000000E+01          -0.58808636E+02          -0.27349084E+01           0.52375671E+02           0.44478517E+01           0.37897445E+02           0.93557968E+00
           0.10000000E+02          -0.59461211E+02          -0.27757381E+01           0.52949970E+02           0.44866396E+01           0.37897445E+02           0.93557968E+00
           0.10100000E+02          -0.60113781E+02          -0.28165677E+01           0.53524264E+02           0.45254272E+01           0.37897445E+02           0.93557968E+00
           0.10200000E+02          -0.60766348E+02          -0.28573971E+01           0.54098554E+02           0.45642144E+01           0.37897445E+02           0.93557968E+00
           0.10300000E+02          -0.61418912E+02          -0.28982263E+01           0.54672840E+02           0.46030013E+01           0.37897445E+02           0.93557968E+00
           0.10400000E+02          -0.62071472E+02          -0.29390553E+01           0.55247122E+02           0.46417879E+01           0.37897445E+02           0.93557968E+00
           0.10500000E+02          -0.62724029E+02          -0.29798841E+01           0.55821400E+02           0.46805741E+01           0.37897445E+02           0.93557968E+00
