                           h                    analytic                     3 point                     5 point
      0.3780923738959109E+00      0.2691134105994275E+01      0.2681827715934138E+01      0.2691384088865247E+01
      0.3818732976348700E+00      0.2691134105994275E+01      0.2681639349451968E+01      0.2691394058015392E+01
      0.3856920306112187E+00      0.2691134105994275E+01      0.2681447144072045E+01      0.2691404420892950E+01
      0.3895489509173309E+00      0.2691134105994275E+01      0.2681251020514791E+01      0.2691415192811496E+01
      0.3934444404265042E+00      0.2691134105994275E+01      0.2681050897823031E+01      0.2691426389666227E+01
      0.3973788848307692E+00      0.2691134105994275E+01      0.2680846693323261E+01      0.2691438027952699E+01
      0.4013526736790769E+00      0.2691134105994275E+01      0.2680638322589914E+01      0.2691450124791912E+01
      0.4053662004158677E+00      0.2691134105994275E+01      0.2680425699405513E+01      0.2691462697951294E+01
      0.4094198624200264E+00      0.2691134105994275E+01      0.2680208735719547E+01      0.2691475765866315E+01
      0.4135140610442266E+00      0.2691134105994275E+01      0.2679987341610681E+01      0.2691489347668459E+01
      0.4176492016546689E+00      0.2691134105994275E+01      0.2679761425242203E+01      0.2691503463206288E+01
      0.4218256936712156E+00      0.2691134105994275E+01      0.2679530892821354E+01      0.2691518133073787E+01
      0.4260439506079278E+00      0.2691134105994275E+01      0.2679295648555096E+01      0.2691533378636223E+01
      0.4303043901140071E+00      0.2691134105994275E+01      0.2679055594603802E+01      0.2691549222055332E+01
      0.4346074340151471E+00      0.2691134105994275E+01      0.2678810631038093E+01      0.2691565686321331E+01
      0.4389535083552986E+00      0.2691134105994275E+01      0.2678560655790414E+01      0.2691582795279860E+01
      0.4433430434388516E+00      0.2691134105994275E+01      0.2678305564606134E+01      0.2691600573661074E+01
      0.4477764738732402E+00      0.2691134105994275E+01      0.2678045250996489E+01      0.2691619047113509E+01
      0.4522542386119726E+00      0.2691134105994275E+01      0.2677779606186518E+01      0.2691638242233879E+01
      0.4567767809980923E+00      0.2691134105994275E+01      0.2677508519063686E+01      0.2691658186600403E+01
      0.4613445488080732E+00      0.2691134105994275E+01      0.2677231876125567E+01      0.2691678908807540E+01
      0.4659579942961539E+00      0.2691134105994275E+01      0.2676949561425037E+01      0.2691700438500215E+01
      0.4706175742391155E+00      0.2691134105994275E+01      0.2676661456515436E+01      0.2691722806410765E+01
      0.4753237499815067E+00      0.2691134105994275E+01      0.2676367440392685E+01      0.2691746044394710E+01
      0.4800769874813217E+00      0.2691134105994275E+01      0.2676067389437884E+01      0.2691770185470155E+01
      0.4848777573561349E+00      0.2691134105994275E+01      0.2675761177357518E+01      0.2691795263857054E+01
      0.4897265349296963E+00      0.2691134105994275E+01      0.2675448675121748E+01      0.2691821315016932E+01
      0.4946238002789932E+00      0.2691134105994275E+01      0.2675129750902466E+01      0.2691848375695513E+01
      0.4995700382817831E+00      0.2691134105994275E+01      0.2674804270008206E+01      0.2691876483964377E+01
      0.5045657386646010E+00      0.2691134105994275E+01      0.2674472094818686E+01      0.2691905679265525E+01
      0.5096113960512469E+00      0.2691134105994275E+01      0.2674133084718112E+01      0.2691936002457564E+01
      0.5147075100117594E+00      0.2691134105994275E+01      0.2673787096024637E+01      0.2691967495860220E+01
      0.5198545851118770E+00      0.2691134105994275E+01      0.2673433981920552E+01      0.2692000203303564E+01
      0.5250531309629958E+00      0.2691134105994275E+01      0.2673073592378555E+01      0.2692034170175305E+01
      0.5303036622726257E+00      0.2691134105994275E+01      0.2672705774088761E+01      0.2692069443473077E+01
      0.5356066988953520E+00      0.2691134105994275E+01      0.2672330370380942E+01      0.2692106071853909E+01
      0.5409627658843055E+00      0.2691134105994275E+01      0.2671947221147252E+01      0.2692144105688255E+01
      0.5463723935431485E+00      0.2691134105994275E+01      0.2671556162761066E+01      0.2692183597112791E+01
      0.5518361174785800E+00      0.2691134105994275E+01      0.2671157027995477E+01      0.2692224600086667E+01
      0.5573544786533657E+00      0.2691134105994275E+01      0.2670749645938497E+01      0.2692267170447510E+01
      0.5629280234398994E+00      0.2691134105994275E+01      0.2670333841906742E+01      0.2692311365969448E+01
      0.5685573036742985E+00      0.2691134105994275E+01      0.2669909437356259E+01      0.2692357246421625E+01
      0.5742428767110415E+00      0.2691134105994275E+01      0.2669476249792659E+01      0.2692404873630003E+01
