  Protons  Neutrons  Experimental Binding Energy  Experimental Error  Theoretical Binding Energy  Theoretical Error 
       7        12          -0.132021E+03               0.163970E-01                  -0.130300E+03                       0.293312E-06
       7        13          -0.134182E+03               0.789000E-01                  -0.129283E+03                       0.369416E-06
       7        14          -0.138788E+03               0.134043E+00                  -0.129534E+03                       0.376741E-06
       7        15          -0.140326E+03               0.207790E+00                  -0.126574E+03                       0.453868E-06
       7        16          -0.143442E+03               0.420578E+00                  -0.124999E+03                       0.479988E-06
       7        17          -0.141286E+03               0.408000E+00                  -0.120595E+03                       0.558447E-06
       7        18          -0.140323E+03               0.500000E+00                  -0.117631E+03                       0.598036E-06
       8         4          -0.586803E+02               0.240000E-01                  -0.489118E+02                       0.367141E-06
       8         5          -0.755508E+02               0.952900E-02                  -0.732287E+02                       0.273635E-06
       8         6          -0.987298E+02               0.280000E-04                  -0.954144E+02                       0.273935E-06
       8         7          -0.111953E+03               0.495000E-03                  -0.110215E+03                       0.217423E-06
       8         8          -0.127617E+03               0.100000E-05                  -0.124457E+03                       0.241648E-06
       8         9          -0.131760E+03               0.100000E-05                  -0.133050E+03                       0.209280E-06
       8        10          -0.139806E+03               0.100000E-05                  -0.141930E+03                       0.241255E-06
       8        11          -0.143761E+03               0.264100E-02                  -0.146263E+03                       0.230864E-06
       8        12          -0.151369E+03               0.880000E-03                  -0.151358E+03                       0.267979E-06
       8        13          -0.155175E+03               0.119910E-01                  -0.152652E+03                       0.279421E-06
       8        14          -0.162025E+03               0.569140E-01                  -0.154978E+03                       0.322464E-06
       8        15          -0.164758E+03               0.121716E+00                  -0.154034E+03                       0.352501E-06
       8        16          -0.168950E+03               0.164880E+00                  -0.154276E+03                       0.401540E-06
       8        17          -0.168193E+03               0.165075E+00                  -0.151641E+03                       0.445501E-06
       8        18          -0.168932E+03               0.164944E+00                  -0.150278E+03                       0.499907E-06
       8        19          -0.166993E+03               0.513000E+00                  -0.146339E+03                       0.553857E-06
       8        20          -0.167662E+03               0.700000E+00                  -0.143714E+03                       0.612835E-06
       9         5          -0.739902E+02               0.411180E-01                  -0.675801E+02                       0.379010E-06
       9         6          -0.974591E+02               0.139950E-01                  -0.931371E+02                       0.270865E-06
       9         7          -0.111417E+03               0.832000E-02                  -0.111317E+03                       0.299561E-06
       9         8          -0.128217E+03               0.255000E-03                  -0.128631E+03                       0.220117E-06
       9         9          -0.137367E+03               0.468000E-03                  -0.140241E+03                       0.269641E-06
       9        10          -0.147799E+03               0.100000E-05                  -0.151850E+03                       0.210168E-06
       9        11          -0.154400E+03               0.400000E-04                  -0.158845E+03                       0.266605E-06
       9        12          -0.162501E+03               0.180600E-02                  -0.166348E+03                       0.226448E-06
       9        13          -0.167732E+03               0.124080E-01                  -0.169985E+03                       0.286157E-06
       9        14          -0.175311E+03               0.333270E-01                  -0.174436E+03                       0.267195E-06
       9        15          -0.179123E+03               0.976800E-01                  -0.175560E+03                       0.329790E-06
       9        16          -0.183405E+03               0.964500E-01                  -0.177684E+03                       0.331268E-06
       9        17          -0.184161E+03               0.111202E+00                  -0.176882E+03                       0.396650E-06
       9        18          -0.185431E+03               0.389826E+00                  -0.177191E+03                       0.415130E-06
       9        19          -0.185211E+03               0.393036E+00                  -0.174884E+03                       0.483129E-06
       9        20          -0.186874E+03               0.525364E+00                  -0.173753E+03                       0.514696E-06
       9        21          -0.186987E+03               0.600000E+00                  -0.170251E+03                       0.585110E-06
       9        22          -0.187020E+03               0.558000E+00                  -0.167959E+03                       0.626553E-06
      10         5          -0.730274E+02               0.666900E-01                  -0.630134E+02                       0.378632E-06
      10         6          -0.973273E+02               0.204800E-01                  -0.914933E+02                       0.333539E-06
      10         7          -0.112885E+03               0.357000E-03                  -0.112656E+03                       0.268527E-06
      10         8          -0.132139E+03               0.360000E-03                  -0.132717E+03                       0.261072E-06
      10         9          -0.143776E+03               0.152000E-03                  -0.147060E+03                       0.221742E-06
      10        10          -0.160641E+03               0.100000E-05                  -0.161168E+03                       0.232678E-06
      10        11          -0.167402E+03               0.420000E-04                  -0.170622E+03                       0.210286E-06
      10        12          -0.177767E+03               0.220000E-04                  -0.180370E+03                       0.229370E-06
      10        13          -0.182967E+03               0.115000E-03                  -0.186207E+03                       0.222163E-06
      10        14          -0.191836E+03               0.504000E-03                  -0.192668E+03                       0.247383E-06
      10        15          -0.195991E+03               0.290500E-01                  -0.195758E+03                       0.256249E-06
      10        16          -0.201546E+03               0.184340E-01                  -0.199682E+03                       0.288279E-06
      10        17          -0.203048E+03               0.907740E-01                  -0.200641E+03                       0.312410E-06
      10        18          -0.206870E+03               0.126056E+00                  -0.202567E+03                       0.351356E-06
      10        19          -0.207841E+03               0.149495E+00                  -0.201843E+03                       0.388069E-06
      10        20          -0.211032E+03               0.253260E+00                  -0.202168E+03                       0.433256E-06
      10        21          -0.211202E+03               0.266197E+00                  -0.200093E+03                       0.479628E-06
      10        22          -0.213468E+03               0.512000E+00                  -0.199117E+03                       0.530153E-06
      10        23          -0.212516E+03               0.594000E+00                  -0.195944E+03                       0.583847E-06
      10        24          -0.213754E+03               0.510000E+00                  -0.193897E+03                       0.638870E-06
      11         6          -0.934289E+02               0.100135E+01                  -0.851261E+02                       0.364045E-06
      11         7          -0.111635E+03               0.938880E-01                  -0.109160E+03                       0.351369E-06
      11         8          -0.131815E+03               0.105260E-01                  -0.131892E+03                       0.266311E-06
      11         9          -0.145965E+03               0.112000E-02                  -0.148903E+03                       0.287072E-06
      11        10          -0.163072E+03               0.105000E-03                  -0.165474E+03                       0.222531E-06
      11        11          -0.174140E+03               0.176000E-03                  -0.177359E+03                       0.259927E-06
      11        12          -0.186560E+03               0.100000E-05                  -0.189345E+03                       0.209815E-06
      11        13          -0.193519E+03               0.240000E-04                  -0.197380E+03                       0.254271E-06
      11        14          -0.202530E+03               0.120000E-02                  -0.205865E+03                       0.217989E-06
      11        15          -0.208105E+03               0.351000E-02                  -0.210938E+03                       0.266625E-06
      11        16          -0.214833E+03               0.372600E-02                  -0.216690E+03                       0.246334E-06
      11        17          -0.218375E+03               0.102480E-01                  -0.219441E+03                       0.298820E-06
      11        18          -0.222778E+03               0.733700E-02                  -0.223020E+03                       0.295486E-06
      11        19          -0.225055E+03               0.474000E-02                  -0.223917E+03                       0.351660E-06
      11        20          -0.229355E+03               0.139810E-01                  -0.225741E+03                       0.363732E-06
      11        21          -0.231032E+03               0.372480E-01                  -0.225137E+03                       0.423263E-06
      11        22          -0.233963E+03               0.449922E+00                  -0.225525E+03                       0.447963E-06
      11        23          -0.234134E+03               0.599420E+00                  -0.223690E+03                       0.510502E-06
      11        24          -0.235651E+03               0.665000E+00                  -0.222888E+03                       0.545125E-06
      11        25          -0.235652E+03               0.684000E+00                  -0.220033E+03                       0.610353E-06
      11        26          -0.236500E+03               0.703000E+00                  -0.218233E+03                       0.652739E-06
      12         7          -0.112133E+03               0.500080E-01                  -0.106347E+03                       0.352359E-06
      12         8          -0.134555E+03               0.186000E-02                  -0.131474E+03                       0.313316E-06
      12         9          -0.149200E+03               0.756000E-03                  -0.150903E+03                       0.264083E-06
      12        10          -0.168575E+03               0.308000E-03                  -0.169725E+03                       0.252465E-06
      12        11          -0.181720E+03               0.161000E-03                  -0.183851E+03                       0.222665E-06
      12        12          -0.198252E+03               0.240000E-04                  -0.197915E+03                       0.225877E-06
      12        13          -0.205582E+03               0.500000E-04                  -0.208004E+03                       0.208898E-06
      12        14          -0.216675E+03               0.260000E-04                  -0.218391E+03                       0.219719E-06
      12        15          -0.223119E+03               0.540000E-04                  -0.225338E+03                       0.213931E-06
      12        16          -0.231622E+03               0.198800E-02                  -0.232827E+03                       0.230777E-06
      12        17          -0.235277E+03               0.113970E-01                  -0.237285E+03                       0.237285E-06
      12        18          -0.241630E+03               0.345000E-02                  -0.242449E+03                       0.260927E-06
      12        19          -0.243939E+03               0.306900E-02                  -0.244904E+03                       0.280181E-06
      12        20          -0.249717E+03               0.326400E-02                  -0.248176E+03                       0.311015E-06
      12        21          -0.251998E+03               0.290400E-02                  -0.248995E+03                       0.341685E-06
      12        22          -0.256708E+03               0.288660E-01                  -0.250708E+03                       0.379215E-06
      12        23          -0.257463E+03               0.269675E+00                  -0.250177E+03                       0.419175E-06
      12        24          -0.260794E+03               0.690228E+00                  -0.250590E+03                       0.462524E-06
      12        25          -0.261034E+03               0.698930E+00                  -0.248933E+03                       0.509796E-06
      12        26          -0.263259E+03               0.494000E+00                  -0.248252E+03                       0.558088E-06
      12        27          -0.263128E+03               0.507000E+00                  -0.245645E+03                       0.611130E-06
      12        28          -0.265115E+03               0.520000E+00                  -0.244034E+03                       0.663614E-06
      13         8          -0.132335E+03               0.588000E+00                  -0.126911E+03                       0.342613E-06
      13         9          -0.149197E+03               0.396000E+00                  -0.148695E+03                       0.332713E-06
      13        10          -0.168715E+03               0.345000E-03                  -0.169725E+03                       0.261790E-06
      13        11          -0.183583E+03               0.240000E-03                  -0.186055E+03                       0.277468E-06
      13        12          -0.200522E+03               0.750000E-04                  -0.202175E+03                       0.222294E-06
      13        13          -0.211887E+03               0.780000E-04                  -0.214300E+03                       0.251788E-06
      13        14          -0.224945E+03               0.540000E-04                  -0.226585E+03                       0.207656E-06
      13        15          -0.232670E+03               0.840000E-04                  -0.235404E+03                       0.243817E-06
      13        16          -0.242099E+03               0.348000E-03                  -0.244638E+03                       0.210006E-06
      13        17          -0.247827E+03               0.288000E-02                  -0.250814E+03                       0.250490E-06
      13        18          -0.254984E+03               0.223200E-02                  -0.257580E+03                       0.228993E-06
      13        19          -0.259204E+03               0.716800E-02                  -0.261610E+03                       0.273620E-06
      13        20          -0.264674E+03               0.699600E-02                  -0.266354E+03                       0.266270E-06
      13        21          -0.267248E+03               0.306000E-02                  -0.268622E+03                       0.315010E-06
      13        22          -0.272543E+03               0.735000E-02                  -0.271689E+03                       0.321605E-06
