  Protons  Neutrons  Experimental Binding Energy  Experimental Error  Theoretical Binding Energy  Theoretical Error 
      36        33          -0.561101E+03               0.414000E+00                  -0.562751E+03                       0.232875E-06
      36        34          -0.577844E+03               0.210000E+00                  -0.578762E+03                       0.219899E-06
      36        35          -0.591150E+03               0.128794E+00                  -0.593140E+03                       0.213578E-06
      36        36          -0.606835E+03               0.799200E-02                  -0.607746E+03                       0.205143E-06
      36        37          -0.617517E+03               0.657000E-02                  -0.620795E+03                       0.201716E-06
      36        38          -0.631369E+03               0.199800E-02                  -0.634109E+03                       0.195744E-06
      36        39          -0.641432E+03               0.810000E-02                  -0.645936E+03                       0.193469E-06
      36        40          -0.654193E+03               0.402800E-02                  -0.658058E+03                       0.188455E-06
      36        41          -0.663420E+03               0.192500E-02                  -0.668758E+03                       0.186330E-06
      36        42          -0.675501E+03               0.312000E-03                  -0.679780E+03                       0.181501E-06
      36        43          -0.683836E+03               0.347600E-02                  -0.689439E+03                       0.179277E-06
      36        44          -0.695358E+03               0.720000E-03                  -0.699444E+03                       0.174574E-06
      36        45          -0.703232E+03               0.105300E-02                  -0.708139E+03                       0.172691E-06
      36        46          -0.714199E+03               0.100000E-05                  -0.717201E+03                       0.168733E-06
      36        47          -0.721669E+03               0.100000E-05                  -0.725002E+03                       0.168258E-06
      36        48          -0.732189E+03               0.100000E-05                  -0.733187E+03                       0.166271E-06
      36        49          -0.739302E+03               0.204000E-02                  -0.740158E+03                       0.168733E-06
      36        50          -0.749158E+03               0.100000E-05                  -0.747528E+03                       0.170289E-06
      36        51          -0.754674E+03               0.261000E-03                  -0.753725E+03                       0.177217E-06
      36        52          -0.761727E+03               0.264000E-02                  -0.760335E+03                       0.183655E-06
      36        53          -0.766643E+03               0.213600E-02                  -0.765813E+03                       0.195951E-06
      36        54          -0.773137E+03               0.189000E-02                  -0.771713E+03                       0.207823E-06
      36        55          -0.777223E+03               0.227500E-02                  -0.776518E+03                       0.225501E-06
      36        56          -0.783090E+03               0.266800E-02                  -0.781756E+03                       0.242568E-06
      36        57          -0.786528E+03               0.251100E-02                  -0.785931E+03                       0.265071E-06
      36        58          -0.791811E+03               0.121260E-01                  -0.790548E+03                       0.286712E-06
      36        59          -0.794693E+03               0.186200E-01                  -0.794135E+03                       0.313342E-06
      36        60          -0.799686E+03               0.204480E-01                  -0.798170E+03                       0.338903E-06
      36        61          -0.802101E+03               0.130368E+00                  -0.801204E+03                       0.369045E-06
      36        62          -0.807052E+03               0.294000E+00                  -0.804693E+03                       0.397974E-06
      36        63          -0.809546E+03               0.396000E+00                  -0.807209E+03                       0.431149E-06
      36        64          -0.813924E+03               0.400000E+00                  -0.810185E+03                       0.463017E-06
      36        65          -0.816105E+03               0.505000E+00                  -0.812213E+03                       0.498858E-06
      37        34          -0.576084E+03               0.426000E+00                  -0.578157E+03                       0.234269E-06
      37        35          -0.590463E+03               0.504000E+00                  -0.593255E+03                       0.236486E-06
      37        36          -0.606257E+03               0.219000E+00                  -0.608561E+03                       0.215518E-06
      37        37          -0.620165E+03               0.303400E-02                  -0.622310E+03                       0.221871E-06
      37        38          -0.633539E+03               0.120000E-02                  -0.636305E+03                       0.204023E-06
      37        39          -0.644871E+03               0.912000E-03                  -0.648813E+03                       0.212335E-06
      37        40          -0.657294E+03               0.130900E-02                  -0.661598E+03                       0.196046E-06
      37        41          -0.667470E+03               0.327600E-02                  -0.672959E+03                       0.204874E-06
      37        42          -0.679409E+03               0.213300E-02                  -0.684626E+03                       0.189089E-06
      37        43          -0.688853E+03               0.184000E-02                  -0.694928E+03                       0.197788E-06
      37        44          -0.700205E+03               0.494100E-02                  -0.705559E+03                       0.182046E-06
      37        45          -0.709008E+03               0.303400E-02                  -0.714878E+03                       0.190667E-06
      37        46          -0.719962E+03               0.232400E-02                  -0.724548E+03                       0.175131E-06
      37        47          -0.728722E+03               0.218400E-02                  -0.732956E+03                       0.184300E-06
      37        48          -0.739201E+03               0.100000E-05                  -0.741732E+03                       0.169797E-06
      37        49          -0.747852E+03               0.172000E-03                  -0.749292E+03                       0.180569E-06
      37        50          -0.757774E+03               0.100000E-05                  -0.757236E+03                       0.168581E-06
      37        51          -0.763857E+03               0.176000E-03                  -0.764006E+03                       0.182189E-06
      37        52          -0.771032E+03               0.542900E-02                  -0.771174E+03                       0.174562E-06
      37        53          -0.776755E+03               0.648000E-02                  -0.777207E+03                       0.191982E-06
      37        54          -0.783207E+03               0.782600E-02                  -0.783650E+03                       0.190267E-06
      37        55          -0.788306E+03               0.616400E-02                  -0.788994E+03                       0.211845E-06
      37        56          -0.794224E+03               0.781200E-02                  -0.794759E+03                       0.216682E-06
      37        57          -0.798239E+03               0.206800E-02                  -0.799459E+03                       0.242171E-06
      37        58          -0.803639E+03               0.202350E-01                  -0.804587E+03                       0.253285E-06
      37        59          -0.807173E+03               0.336000E-02                  -0.808684E+03                       0.282183E-06
      37        60          -0.812409E+03               0.194000E-02                  -0.813216E+03                       0.298836E-06
      37        61          -0.816330E+03               0.160720E-01                  -0.816746E+03                       0.330655E-06
      37        62          -0.821154E+03               0.405900E-02                  -0.820718E+03                       0.352036E-06
      37        63          -0.824351E+03               0.196000E-01                  -0.823716E+03                       0.386396E-06
      37        64          -0.829028E+03               0.202000E+00                  -0.827161E+03                       0.411801E-06
      37        65          -0.831933E+03               0.306000E+00                  -0.829658E+03                       0.448421E-06
      37        66          -0.835970E+03               0.412000E+00                  -0.832607E+03                       0.477286E-06
      38        35          -0.591359E+03               0.365000E+00                  -0.593424E+03                       0.235943E-06
      38        36          -0.608267E+03               0.740000E-01                  -0.609412E+03                       0.223510E-06
      38        37          -0.622152E+03               0.219975E+00                  -0.623843E+03                       0.217699E-06
      38        38          -0.637852E+03               0.344280E-01                  -0.638502E+03                       0.209612E-06
      38        39          -0.649479E+03               0.793100E-02                  -0.651674E+03                       0.206542E-06
      38        40          -0.662921E+03               0.748800E-02                  -0.665106E+03                       0.200831E-06
      38        41          -0.673295E+03               0.837400E-02                  -0.677114E+03                       0.198820E-06
      38        42          -0.686201E+03               0.344000E-02                  -0.689410E+03                       0.194020E-06
      38        43          -0.695489E+03               0.315900E-02                  -0.700341E+03                       0.192049E-06
      38        44          -0.708042E+03               0.598600E-02                  -0.711584E+03                       0.187338E-06
      38        45          -0.716901E+03               0.680600E-02                  -0.721515E+03                       0.185054E-06
      38        46          -0.728824E+03               0.126000E-02                  -0.731780E+03                       0.180243E-06
      38        47          -0.737349E+03               0.280500E-02                  -0.740783E+03                       0.177902E-06
      38        48          -0.748841E+03               0.100000E-05                  -0.750138E+03                       0.173397E-06
      38        49          -0.757269E+03               0.100000E-05                  -0.758276E+03                       0.171826E-06
      38        50          -0.768382E+03               0.100000E-05                  -0.766783E+03                       0.168606E-06
      38        51          -0.774740E+03               0.890000E-04                  -0.774115E+03                       0.169132E-06
      38        52          -0.782551E+03               0.216000E-02                  -0.781830E+03                       0.168630E-06
      38        53          -0.788326E+03               0.546000E-02                  -0.788410E+03                       0.172815E-06
      38        54          -0.795613E+03               0.340400E-02                  -0.795385E+03                       0.176520E-06
      38        55          -0.800903E+03               0.753300E-02                  -0.801261E+03                       0.185609E-06
      38        56          -0.807734E+03               0.169200E-02                  -0.807543E+03                       0.194471E-06
      38        57          -0.812079E+03               0.579500E-02                  -0.812760E+03                       0.208909E-06
      38        58          -0.817955E+03               0.844800E-02                  -0.818392E+03                       0.223045E-06
      38        59          -0.821683E+03               0.339500E-02                  -0.822991E+03                       0.242520E-06
      38        60          -0.827596E+03               0.323400E-02                  -0.828013E+03                       0.261459E-06
      38        61          -0.831766E+03               0.475200E-02                  -0.832031E+03                       0.285323E-06
      38        62          -0.837137E+03               0.720000E-02                  -0.836480E+03                       0.308411E-06
      38        63          -0.840712E+03               0.848400E-02                  -0.839953E+03                       0.336007E-06
      38        64          -0.845618E+03               0.671160E-01                  -0.843862E+03                       0.362646E-06
      38        65          -0.848942E+03               0.206000E+00                  -0.846821E+03                       0.393436E-06
      38        66          -0.853753E+03               0.312000E+00                  -0.850221E+03                       0.423144E-06
      38        67          -0.856293E+03               0.525000E+00                  -0.852697E+03                       0.456715E-06
      38        68          -0.860527E+03               0.636000E+00                  -0.855617E+03                       0.489122E-06
      38        69          -0.862761E+03               0.749000E+00                  -0.857636E+03                       0.525160E-06
      39        36          -0.606583E+03               0.300000E+00                  -0.608551E+03                       0.237897E-06
      39        37          -0.621284E+03               0.304000E+00                  -0.623664E+03                       0.239694E-06
      39        38          -0.637314E+03               0.231000E+00                  -0.638987E+03                       0.220118E-06
      39        39          -0.651130E+03               0.312000E+00                  -0.652824E+03                       0.225805E-06
      39        40          -0.664848E+03               0.791580E-01                  -0.666903E+03                       0.209267E-06
      39        41          -0.676250E+03               0.624000E-02                  -0.679558E+03                       0.216791E-06
      39        42          -0.688886E+03               0.542700E-02                  -0.692485E+03                       0.201781E-06
      39        43          -0.699308E+03               0.549400E-02                  -0.704045E+03                       0.209739E-06
      39        44          -0.711521E+03               0.185920E-01                  -0.715903E+03                       0.195193E-06
      39        45          -0.721281E+03               0.428400E-02                  -0.726447E+03                       0.202897E-06
      39        46          -0.733300E+03               0.189550E-01                  -0.737310E+03                       0.188274E-06
      39        47          -0.742813E+03               0.141040E-01                  -0.746909E+03                       0.195662E-06
      39        48          -0.754619E+03               0.113100E-02                  -0.756845E+03                       0.180960E-06
      39        49          -0.763971E+03               0.149600E-02                  -0.765564E+03                       0.188497E-06
      39        50          -0.775452E+03               0.160200E-02                  -0.774637E+03                       0.174280E-06
      39        51          -0.782309E+03               0.162000E-02                  -0.782534E+03                       0.182869E-06
      39        52          -0.790237E+03               0.182000E-02                  -0.790799E+03                       0.170310E-06
      39        53          -0.796774E+03               0.910800E-02                  -0.797928E+03                       0.181140E-06
      39        54          -0.804256E+03               0.105090E-01                  -0.805439E+03                       0.171907E-06
      39        55          -0.810452E+03               0.639200E-02                  -0.811849E+03                       0.186131E-06
      39        56          -0.817380E+03               0.674500E-02                  -0.818652E+03                       0.181934E-06
      39        57          -0.822579E+03               0.604800E-02                  -0.824388E+03                       0.200241E-06
      39        58          -0.828435E+03               0.669300E-02                  -0.830528E+03                       0.202162E-06
      39        59          -0.832680E+03               0.793800E-02                  -0.835632E+03                       0.224583E-06
      39        60          -0.839107E+03               0.663300E-02                  -0.841148E+03                       0.232762E-06
      39        61          -0.843855E+03               0.112000E-01                  -0.845658E+03                       0.258882E-06
      39        62          -0.849660E+03               0.707000E-02                  -0.850587E+03                       0.272784E-06
      39        63          -0.853844E+03               0.408000E-02                  -0.854539E+03                       0.302081E-06
      39        64          -0.859200E+03               0.112270E-01                  -0.858915E+03                       0.320933E-06
      39        65          -0.862900E+03               0.416000E+00                  -0.862341E+03                       0.352957E-06
      39        66          -0.868155E+03               0.133665E+01                  -0.866196E+03                       0.376024E-06
      39        67          -0.871016E+03               0.530000E+00                  -0.869126E+03                       0.410437E-06
      39        68          -0.875382E+03               0.535000E+00                  -0.872489E+03                       0.437109E-06
      39        69          -0.878380E+03               0.648000E+00                  -0.874950E+03                       0.473663E-06
      39        70          -0.882372E+03               0.654000E+00                  -0.877849E+03                       0.503461E-06
      40        37          -0.622139E+03               0.385000E+00                  -0.623538E+03                       0.240129E-06
      40        38          -0.639034E+03               0.390000E+00                  -0.639509E+03                       0.228190E-06
      40        39          -0.652995E+03               0.316000E+00                  -0.653993E+03                       0.222774E-06
      40        40          -0.668702E+03               0.320000E+00                  -0.668704E+03                       0.215002E-06
      40        41          -0.679845E+03               0.940410E-01                  -0.681992E+03                       0.212195E-06
      40        42          -0.694087E+03               0.111520E-01                  -0.695535E+03                       0.206728E-06
      40        43          -0.704439E+03               0.639100E-02                  -0.707711E+03                       0.204920E-06
      40        44          -0.718020E+03               0.546000E-02                  -0.720169E+03                       0.200340E-06
      40        45          -0.727845E+03               0.646000E-02                  -0.731313E+03                       0.198508E-06
      40        46          -0.740710E+03               0.352600E-02                  -0.742761E+03                       0.193967E-06
      40        47          -0.750160E+03               0.417600E-02                  -0.752944E+03                       0.191682E-06
      40        48          -0.762513E+03               0.536800E-02                  -0.763451E+03                       0.186894E-06
      40        49          -0.771831E+03               0.311500E-02                  -0.772738E+03                       0.184265E-06
      40        50          -0.783799E+03               0.900000E-04                  -0.782366E+03                       0.179463E-06
      40        51          -0.790994E+03               0.910000E-04                  -0.790817E+03                       0.177102E-06
      40        52          -0.799628E+03               0.920000E-04                  -0.799623E+03                       0.173033E-06
      40        53          -0.806363E+03               0.465000E-03                  -0.807292E+03                       0.172041E-06
      40        54          -0.814581E+03               0.188000E-03                  -0.815328E+03                       0.169930E-06
      40        55          -0.821043E+03               0.855000E-03                  -0.822264E+03                       0.171766E-06
      40        56          -0.828893E+03               0.960000E-04                  -0.829579E+03                       0.173095E-06
      40        57          -0.834469E+03               0.388000E-03                  -0.835827E+03                       0.179191E-06
      40        58          -0.840884E+03               0.842800E-02                  -0.842465E+03                       0.185202E-06
      40        59          -0.845289E+03               0.104940E-01                  -0.848068E+03                       0.196416E-06
      40        60          -0.852117E+03               0.810000E-02                  -0.854069E+03                       0.207625E-06
      40        61          -0.856977E+03               0.838300E-02                  -0.859065E+03                       0.223996E-06
      40        62          -0.863470E+03               0.877200E-02                  -0.864467E+03                       0.240185E-06
      40        63          -0.867769E+03               0.927000E-02                  -0.868891E+03                       0.261205E-06
      40        64          -0.873749E+03               0.936000E-02                  -0.873728E+03                       0.281787E-06
      40        65          -0.877561E+03               0.120750E-01                  -0.877614E+03                       0.306793E-06
      40        66          -0.882718E+03               0.433116E+00                  -0.881918E+03                       0.331137E-06
      40        67          -0.886619E+03               0.112243E+01                  -0.885296E+03                       0.359537E-06
      40        68          -0.891658E+03               0.432000E+00                  -0.889097E+03                       0.387109E-06
      40        69          -0.894574E+03               0.545000E+00                  -0.891994E+03                       0.418434E-06
      40        70          -0.899372E+03               0.550000E+00                  -0.895320E+03                       0.448817E-06
      40        71          -0.902110E+03               0.666000E+00                  -0.897764E+03                       0.482711E-06
      40        72          -0.906430E+03               0.672000E+00                  -0.900639E+03                       0.515585E-06
      41        38          -0.637110E+03               0.474000E+00                  -0.638385E+03                       0.242641E-06
      41        39          -0.651976E+03               0.400000E+00                  -0.653517E+03                       0.243989E-06
      41        40          -0.667984E+03               0.405000E+00                  -0.668861E+03                       0.225664E-06
      41        41          -0.681726E+03               0.328000E+00                  -0.682780E+03                       0.230685E-06
      41        42          -0.695295E+03               0.150894E+00                  -0.696940E+03                       0.215321E-06
      41        43          -0.707029E+03               0.130200E-01                  -0.709733E+03                       0.222086E-06
      41        44          -0.720161E+03               0.408000E-02                  -0.722793E+03                       0.208230E-06
      41        45          -0.731087E+03               0.550400E-02                  -0.734538E+03                       0.215383E-06
      41        46          -0.743899E+03               0.678600E-02                  -0.746573E+03                       0.201978E-06
      41        47          -0.754269E+03               0.587840E-01                  -0.757342E+03                       0.208802E-06
      41        48          -0.766792E+03               0.236740E-01                  -0.768420E+03                       0.195256E-06
      41        49          -0.776900E+03               0.333000E-02                  -0.778279E+03                       0.201596E-06
      41        50          -0.788948E+03               0.291200E-02                  -0.788464E+03                       0.187783E-06
      41        51          -0.796834E+03               0.174800E-02                  -0.797471E+03                       0.193960E-06
      41        52          -0.805665E+03               0.148800E-02                  -0.806820E+03                       0.180239E-06
      41        53          -0.812893E+03               0.150400E-02                  -0.815030E+03                       0.186993E-06
      41        54          -0.821381E+03               0.475000E-03                  -0.823595E+03                       0.174254E-06
      41        55          -0.828269E+03               0.192000E-03                  -0.831058E+03                       0.182659E-06
      41        56          -0.836343E+03               0.426800E-02                  -0.838889E+03                       0.172317E-06
      41        57          -0.842334E+03               0.499800E-02                  -0.845651E+03                       0.183580E-06
      41        58          -0.849216E+03               0.119790E-01                  -0.852791E+03                       0.177324E-06
      41        59          -0.854749E+03               0.800000E-02                  -0.858894E+03                       0.192406E-06
      41        60          -0.861914E+03               0.373700E-02                  -0.865385E+03                       0.191636E-06
      41        61          -0.867399E+03               0.255000E-02                  -0.870868E+03                       0.210903E-06
      41        62          -0.874194E+03               0.391400E-02                  -0.876747E+03                       0.216203E-06
      41        63          -0.879056E+03               0.270400E-02                  -0.881646E+03                       0.239435E-06
      41        64          -0.885224E+03               0.399000E-02                  -0.886948E+03                       0.250569E-06
      41        65          -0.889583E+03               0.413400E-02                  -0.891297E+03                       0.277266E-06
      41        66          -0.895175E+03               0.802500E-02                  -0.896054E+03                       0.293566E-06
      41        67          -0.899068E+03               0.820800E-02                  -0.899883E+03                       0.323222E-06
      41        68          -0.904283E+03               0.258439E+00                  -0.904126E+03                       0.343948E-06
      41        69          -0.907975E+03               0.838310E+00                  -0.907464E+03                       0.376158E-06
      41        70          -0.912649E+03               0.333000E+00                  -0.911219E+03                       0.400658E-06
      41        71          -0.916056E+03               0.336000E+00                  -0.914092E+03                       0.435121E-06
      41        72          -0.920394E+03               0.452000E+00                  -0.917387E+03                       0.462874E-06
      41        73          -0.923296E+03               0.456000E+00                  -0.919820E+03                       0.499369E-06
      41        74          -0.927371E+03               0.460000E+00                  -0.922678E+03                       0.529965E-06
      42        39          -0.652588E+03               0.486000E+00                  -0.653092E+03                       0.245430E-06
      42        40          -0.669256E+03               0.410000E+00                  -0.669053E+03                       0.233920E-06
      42        41          -0.683312E+03               0.415000E+00                  -0.683590E+03                       0.228787E-06
      42        42          -0.699190E+03               0.336000E+00                  -0.698353E+03                       0.221278E-06
      42        43          -0.710603E+03               0.158100E-01                  -0.711749E+03                       0.218641E-06
      42        44          -0.725275E+03               0.369800E-02                  -0.725397E+03                       0.213378E-06
      42        45          -0.736121E+03               0.287100E-02                  -0.737731E+03                       0.211703E-06
      42        46          -0.749994E+03               0.378400E-02                  -0.750339E+03                       0.207321E-06
      42        47          -0.760393E+03               0.391600E-02                  -0.761682E+03                       0.205595E-06
      42        48          -0.773622E+03               0.342000E-02                  -0.773321E+03                       0.201238E-06
      42        49          -0.783730E+03               0.627900E-02                  -0.783739E+03                       0.198978E-06
      42        50          -0.796401E+03               0.184000E-03                  -0.794470E+03                       0.194286E-06
      42        51          -0.804471E+03               0.186000E-03                  -0.804023E+03                       0.191483E-06
      42        52          -0.814149E+03               0.188000E-03                  -0.813905E+03                       0.186554E-06
      42        53          -0.821518E+03               0.950000E-04                  -0.822647E+03                       0.183643E-06
      42        54          -0.830673E+03               0.960000E-04                  -0.831732E+03                       0.179024E-06
      42        55          -0.837494E+03               0.194000E-03                  -0.839714E+03                       0.176883E-06
      42        56          -0.846136E+03               0.196000E-03                  -0.848051E+03                       0.173574E-06
      42        57          -0.852062E+03               0.198000E-03                  -0.855318E+03                       0.173484E-06
      42        58          -0.860356E+03               0.300000E-03                  -0.862952E+03                       0.172846E-06
      42        59          -0.865754E+03               0.303000E-03                  -0.869548E+03                       0.176268E-06
      42        60          -0.873872E+03               0.826200E-02                  -0.876520E+03                       0.179682E-06
      42        61          -0.879338E+03               0.927000E-02                  -0.882484E+03                       0.187786E-06
      42        62          -0.886798E+03               0.894400E-02                  -0.888833E+03                       0.196135E-06
      42        63          -0.891857E+03               0.903000E-02                  -0.894200E+03                       0.209364E-06
      42        64          -0.898725E+03               0.911600E-02                  -0.899960E+03                       0.222769E-06
      42        65          -0.903214E+03               0.920200E-02                  -0.904766E+03                       0.240860E-06
      42        66          -0.909489E+03               0.918000E-02                  -0.909970E+03                       0.258884E-06
      42        67          -0.913471E+03               0.112270E-01                  -0.914244E+03                       0.281234E-06
      42        68          -0.919419E+03               0.242000E-01                  -0.918922E+03                       0.303256E-06
      42        69          -0.922887E+03               0.125430E-01                  -0.922694E+03                       0.329234E-06
      42        70          -0.928482E+03               0.224000E+00                  -0.926875E+03                       0.354672E-06
      42        71          -0.931575E+03               0.339000E+00                  -0.930172E+03                       0.383753E-06
      42        72          -0.936970E+03               0.342000E+00                  -0.933881E+03                       0.412139E-06
      42        73          -0.940015E+03               0.345000E+00                  -0.936728E+03                       0.443915E-06
      42        74          -0.944826E+03               0.464000E+00                  -0.939990E+03                       0.474890E-06
      42        75          -0.947590E+03               0.468000E+00                  -0.942409E+03                       0.509052E-06
      42        76          -0.952032E+03               0.472000E+00                  -0.945248E+03                       0.542336E-06
      43        40          -0.667452E+03               0.498000E+00                  -0.667661E+03                       0.248497E-06
      43        41          -0.681963E+03               0.420000E+00                  -0.682815E+03                       0.249359E-06
      43        42          -0.698158E+03               0.425000E+00                  -0.698181E+03                       0.232140E-06
      43        43          -0.711963E+03               0.258000E+00                  -0.712181E+03                       0.236485E-06
      43        44          -0.726137E+03               0.417600E-02                  -0.726418E+03                       0.222153E-06
      43        45          -0.738200E+03               0.149072E+00                  -0.739341E+03                       0.228172E-06
      43        46          -0.751985E+03               0.382700E-02                  -0.752525E+03                       0.215335E-06
      43        47          -0.763386E+03               0.990000E-03                  -0.764443E+03                       0.221728E-06
      43        48          -0.776719E+03               0.236600E-02                  -0.776643E+03                       0.209348E-06
      43        49          -0.787729E+03               0.312800E-02                  -0.787622E+03                       0.215378E-06
      43        50          -0.800481E+03               0.102300E-02                  -0.798901E+03                       0.202831E-06
      43        51          -0.809105E+03               0.404200E-02                  -0.809001E+03                       0.208269E-06
      43        52          -0.819039E+03               0.503500E-02                  -0.819418E+03                       0.195341E-06
      43        53          -0.826911E+03               0.518400E-02                  -0.828694E+03                       0.200385E-06
      43        54          -0.836385E+03               0.407400E-02                  -0.838300E+03                       0.187274E-06
      43        55          -0.843664E+03               0.333200E-02                  -0.846803E+03                       0.192507E-06
      43        56          -0.852631E+03               0.891000E-03                  -0.855649E+03                       0.179868E-06
      43        57          -0.859395E+03               0.140000E-02                  -0.863424E+03                       0.186214E-06
      43        58          -0.867790E+03               0.240380E-01                  -0.871555E+03                       0.175194E-06
      43        59          -0.874090E+03               0.918000E-02                  -0.878646E+03                       0.183814E-06
      43        60          -0.882192E+03               0.978500E-02                  -0.886103E+03                       0.175955E-06
      43        61          -0.888163E+03               0.248560E-01                  -0.892550E+03                       0.187967E-06
      43        62          -0.896021E+03               0.352800E-01                  -0.899370E+03                       0.184817E-06
      43        63          -0.901578E+03               0.122960E-01                  -0.905210E+03                       0.200913E-06
      43        64          -0.908623E+03               0.866700E-02                  -0.911430E+03                       0.203452E-06
      43        65          -0.913868E+03               0.874800E-02                  -0.916695E+03                       0.223695E-06
      43        66          -0.920299E+03               0.970100E-02                  -0.922349E+03                       0.232062E-06
      43        67          -0.925122E+03               0.946000E-02                  -0.927072E+03                       0.256061E-06
      43        68          -0.931183E+03               0.105450E-01                  -0.932189E+03                       0.269780E-06
      43        69          -0.935489E+03               0.548800E-02                  -0.936399E+03                       0.297008E-06
      43        70          -0.941113E+03               0.339000E-02                  -0.941007E+03                       0.315372E-06
      43        71          -0.944973E+03               0.433200E+00                  -0.944731E+03                       0.345360E-06
      43        72          -0.950764E+03               0.789475E+00                  -0.948859E+03                       0.367690E-06
      43        73          -0.953983E+03               0.348000E+00                  -0.952122E+03                       0.400075E-06
      43        74          -0.958932E+03               0.351000E+00                  -0.955792E+03                       0.425805E-06
      43        75          -0.962409E+03               0.354000E+00                  -0.958619E+03                       0.460321E-06
      43        76          -0.967115E+03               0.476000E+00                  -0.961855E+03                       0.489002E-06
      43        77          -0.970323E+03               0.480000E+00                  -0.964267E+03                       0.525451E-06
      43        78          -0.974659E+03               0.484000E+00                  -0.967091E+03                       0.556735E-06
      44        41          -0.682427E+03               0.510000E+00                  -0.682090E+03                       0.251838E-06
      44        42          -0.699315E+03               0.430000E+00                  -0.698045E+03                       0.240684E-06
      44        43          -0.713190E+03               0.435000E+00                  -0.712634E+03                       0.235723E-06
      44        44          -0.730101E+03               0.264000E+00                  -0.727448E+03                       0.228413E-06
      44        45          -0.742048E+03               0.267000E+00                  -0.740947E+03                       0.225853E-06
      44        46          -0.756756E+03               0.369000E-02                  -0.754694E+03                       0.220738E-06
      44        47          -0.768183E+03               0.218400E-02                  -0.767176E+03                       0.219121E-06
      44        48          -0.782316E+03               0.276000E-02                  -0.779926E+03                       0.214897E-06
      44        49          -0.793303E+03               0.204600E-02                  -0.791455E+03                       0.213230E-06
      44        50          -0.806741E+03               0.310200E-02                  -0.803272E+03                       0.209043E-06
      44        51          -0.815686E+03               0.950000E-02                  -0.813909E+03                       0.206805E-06
      44        52          -0.826380E+03               0.192000E-03                  -0.824850E+03                       0.202241E-06
      44        53          -0.834492E+03               0.271600E-02                  -0.834650E+03                       0.199334E-06
      44        54          -0.844667E+03               0.646800E-02                  -0.844769E+03                       0.194384E-06
      44        55          -0.852139E+03               0.297000E-03                  -0.853783E+03                       0.191096E-06
      44        56          -0.861813E+03               0.300000E-03                  -0.863129E+03                       0.186143E-06
      44        57          -0.868615E+03               0.404000E-03                  -0.871404E+03                       0.183155E-06
      44        58          -0.877834E+03               0.408000E-03                  -0.880023E+03                       0.178990E-06
      44        59          -0.884066E+03               0.412000E-03                  -0.887602E+03                       0.177378E-06
      44        60          -0.892966E+03               0.249600E-02                  -0.895534E+03                       0.175180E-06
      44        61          -0.898876E+03               0.252000E-02                  -0.902457E+03                       0.176314E-06
      44        62          -0.907336E+03               0.540600E-02                  -0.909743E+03                       0.177462E-06
      44        63          -0.912947E+03               0.866700E-02                  -0.916047E+03                       0.182679E-06
      44        64          -0.920817E+03               0.864000E-02                  -0.922721E+03                       0.188320E-06
      44        65          -0.925965E+03               0.893800E-02                  -0.928440E+03                       0.198438E-06
      44        66          -0.933371E+03               0.891000E-02                  -0.934537E+03                       0.209062E-06
      44        67          -0.938155E+03               0.965700E-02                  -0.939702E+03                       0.224157E-06
      44        68          -0.945072E+03               0.963200E-02                  -0.945252E+03                       0.239571E-06
      44        69          -0.949380E+03               0.368380E-01                  -0.949894E+03                       0.259185E-06
      44        70          -0.955806E+03               0.353400E-02                  -0.954925E+03                       0.278839E-06
      44        71          -0.959845E+03               0.885500E-01                  -0.959071E+03                       0.302342E-06
      44        72          -0.965795E+03               0.371200E-02                  -0.963611E+03                       0.325629E-06
      44        73          -0.969288E+03               0.433134E+00                  -0.967286E+03                       0.352445E-06
      44        74          -0.975147E+03               0.236000E+00                  -0.971360E+03                       0.378846E-06
      44        75          -0.978533E+03               0.357000E+00                  -0.974588E+03                       0.408512E-06
      44        76          -0.983997E+03               0.360000E+00                  -0.978219E+03                       0.437618E-06
      44        77          -0.987116E+03               0.363000E+00                  -0.981023E+03                       0.469781E-06
      44        78          -0.992347E+03               0.488000E+00                  -0.984232E+03                       0.501279E-06
      44        79          -0.995316E+03               0.492000E+00                  -0.986633E+03                       0.535671E-06
      44        80          -0.100031E+04               0.620000E+00                  -0.989441E+03                       0.569319E-06
      45        43          -0.711790E+03               0.440000E+00                  -0.711559E+03                       0.255792E-06
      45        44          -0.728869E+03               0.356000E+00                  -0.726950E+03                       0.239535E-06
      45        45          -0.742820E+03               0.270000E+00                  -0.741026E+03                       0.243185E-06
      45        46          -0.757718E+03               0.273000E+00                  -0.755337E+03                       0.229740E-06
      45        47          -0.770225E+03               0.441600E-02                  -0.768382E+03                       0.235018E-06
      45        48          -0.784309E+03               0.260400E-02                  -0.781684E+03                       0.223059E-06
      45        49          -0.796276E+03               0.338400E-02                  -0.793764E+03                       0.228719E-06
      45        50          -0.809780E+03               0.389500E-02                  -0.806119E+03                       0.217237E-06
