      radius        1st lowest E         2nd lowest E        3rd lowest E
           2  -41.918061926597211       -20.776172078500448        7.1177827245688094E-002
           3  -45.815929144302160       -33.853234986489127       -16.116475923692057     
           4  -47.461182810873247       -40.012217831411427       -28.193865057067175     
           5  -48.299600020984187       -43.259597109846133       -35.073116141092434     
           6  -48.782765319783685       -45.157547478886087       -39.206853393684007     
           7  -49.086046611661374       -46.357125972642791       -41.853210259023108     
           8  -49.288717837338467       -47.161793529987833       -43.640487265936166     
           9  -49.430787138545199       -47.727122186868456       -44.901158162129171     
          10  -49.534198958447419       -48.139209020678088       -45.822387380949195     
