    x             ground state                1st excited            2nd excited   
  -20.000000000000000        4.8027877988156051E-034   4.1982632167135634E-034   1.9199858848440763E-033
  -19.899749373433583        4.8027877988156051E-034   1.6066589624469235E-032   9.8747790053551509E-033
  -19.799498746867169        1.9211151195262420E-033   1.4537265066958603E-032   2.0515288408095920E-033
  -19.699248120300751        4.8027877988156051E-034   3.4008890787385573E-034   4.0026072129277484E-034
  -19.598997493734338        1.9211151195262420E-033   3.2027434766758626E-032   2.9445409645845357E-032
  -19.498746867167920        4.8027877988156051E-034   4.8318352146089007E-033   3.4378045193018020E-034
  -19.398496240601503        0.0000000000000000        6.8034679524405881E-034   3.2222205611448874E-034
  -19.298245614035089        1.2006969497039013E-034   1.3556054235867370E-032   1.5373883629947812E-032
  -19.197994987468672        0.0000000000000000        2.7847756010315954E-033   2.5400880957193096E-035
  -19.097744360902254        0.0000000000000000        2.4831392416469262E-035   1.4839815587859392E-033
  -18.997493734335841        0.0000000000000000        1.0228122909512338E-034   1.2859109052208455E-036
  -18.897243107769423        7.5043559356493830E-036   6.7460071299762381E-035   2.1508225879307801E-034
  -18.796992481203006        1.8760889839123457E-036   6.0253318849885272E-035   1.6235286833418232E-034
  -18.696741854636592        1.8760889839123457E-036   2.1529760679768789E-035   1.2968077068391919E-035
  -18.596491228070175        0.0000000000000000        1.5217751796430665E-036   9.9934553193453092E-036
  -18.496240601503761        1.1725556149452161E-037   5.3722854769253358E-037   7.5239711273286235E-036
  -18.395989974937343        1.1725556149452161E-037   1.3698890882603364E-037   1.1735397929625546E-037
  -18.295739348370926        7.3284725934076005E-039   2.2552545355645173E-037   2.1316428340250695E-039
  -18.195488721804512        0.0000000000000000        5.1173899800093657E-039   4.0905278393685113E-038
  -18.095238095238095        4.5802953708797503E-040   3.1452072549276137E-039   1.4146999296947625E-038
  -17.994987468671681        0.0000000000000000        2.3119030309999431E-040   4.3044383404728576E-039
  -17.894736842105264        2.8626846067998440E-041   1.7413105439045141E-039   2.0369487029314453E-039
  -17.794486215538846        7.1567115169996099E-042   4.8863654007045648E-041   5.1467919268092486E-041
  -17.694235588972433        1.7891778792499025E-042   3.6427835165508054E-041   3.0749294042299055E-041
  -17.593984962406015        1.1182361745311890E-043   4.1309908069301952E-044   2.5259533094314500E-042
  -17.493734335839598        2.7955904363279726E-044   3.7359188864941094E-044   8.7678896846708628E-043
  -17.393483709273184        6.9889760908199315E-045   1.2496131045631485E-043   1.5796754890011997E-044
  -17.293233082706767        0.0000000000000000        2.2669733928603482E-045   1.9484804546143820E-044
  -17.192982456140349        1.7472440227049829E-045   7.8194860918729317E-047   1.0221902048140372E-044
  -17.092731829573935        2.7300687854765358E-047   1.5558065279181934E-046   2.9526448181051657E-045
  -16.992481203007518        0.0000000000000000        2.1122918956369154E-046   4.5714047635866877E-046
  -16.892230576441104        0.0000000000000000        5.0568553412525869E-047   2.7461926715756689E-049
  -16.791979949874687        9.5978980739409460E-049   8.7717489728938194E-048   7.3597864362223426E-049
  -16.691729323308270        2.6660827983169295E-050   3.4449630645553707E-052   2.0596036825828565E-048
  -16.591478696741856        6.6652069957923236E-051   2.6504134134950631E-050   4.0616120595619653E-050
  -16.491228070175438        1.6663017489480809E-051   6.3288339812942222E-052   1.1865286912427170E-050
  -16.390977443609025        1.0414385930925506E-052   3.5655181757842523E-056   6.5220496238623520E-052
  -16.290726817042607        2.6035964827313764E-053   3.1123610451065661E-054   2.8467770398654114E-053
  -16.190476190476190        1.6272478017071103E-054   7.0721521211285635E-055   4.5700045753512447E-055
  -16.090225563909776        0.0000000000000000        4.6719053609614468E-054   1.3555756207036185E-054
  -15.989974937343359        0.0000000000000000        1.9510567894061608E-056   4.7742341153440476E-055
  -15.889724310776943        6.3564367254183995E-057   7.4997411776607738E-056   1.2947951293108879E-055
  -15.789473684210527        0.0000000000000000        3.1642016616475471E-061   1.5086950672167996E-056
  -15.689223057644110        2.4829830958665623E-059   1.2951809012092330E-058   6.8650532773633564E-060
  -15.588972431077694        6.2074577396664057E-060   4.9862224318676218E-061   6.5371504396304795E-059
  -15.488721804511279        3.8796610872915036E-061   4.7491941880823528E-060   1.9359091219760742E-060
  -15.388471177944862        2.4247881795571897E-062   4.4105948821951027E-061   1.4683461792757859E-060
  -15.288220551378446        0.0000000000000000        2.9459190754718788E-063   1.2480874743751490E-061
  -15.187969924812030        1.4799732541242613E-066   4.7342819415090735E-067   5.5763133837806632E-065
  -15.087719298245615        3.7887315305581090E-064   2.7517053093657375E-063   1.1037625516075673E-062
  -14.987468671679199        9.4718288263952724E-065   3.8186329573952214E-063   2.7116015439946034E-063
  -14.887218045112782        0.0000000000000000        6.1363309743897414E-064   1.1944719345030526E-063
  -14.786967418546366        0.0000000000000000        1.2657803360310184E-066   6.1644670722869621E-068
  -14.686716791979951        3.7887315305581090E-064   3.3082614263570047E-064   5.0500953796841078E-065
  -14.586466165413533        5.9198930164970453E-066   5.9114439040944421E-065   1.1016879733064086E-064
  -14.486215538847118        0.0000000000000000        3.1737799773499422E-064   2.5528270053503131E-063
  -14.385964912280702        0.0000000000000000        5.6293465721823720E-064   1.0967322816267495E-062
  -14.285714285714286        5.9198930164970453E-066   2.0610040300994097E-065   1.7885495677314196E-064
  -14.185463659147871        9.4718288263952724E-065   1.1552645032596351E-063   1.2050303163290748E-063
  -14.085213032581454        0.0000000000000000        1.2318756216311126E-063   3.1682269191948408E-063
  -13.984962406015038        9.2498328382766332E-068   2.3888723630525853E-066   3.8606732497457920E-066
  -13.884711779448622        9.4718288263952724E-065   1.1627739546582608E-063   4.1419662466369744E-064
  -13.784461152882205        0.0000000000000000        2.2351421564454387E-063   8.8554004812595092E-063
  -13.684210526315789        0.0000000000000000        4.6270860582143967E-063   8.7449513240374584E-062
  -13.583959899749374        0.0000000000000000        1.9092749503181291E-063   1.7306438532965129E-064
  -13.483709273182958        3.7887315305581090E-064   5.8063732691418115E-063   6.0786539467393167E-063
