               t                   norm                    pos                  width
   0.0000000000000000       0.99999999999999967       0.20000000000000009       0.49999999999999994     
   5.0000000000000003E-002   1.0000000000000007       0.19975162143614589       0.50183731870503046     
  0.10000000000000002        1.0000000000000007       0.19900708905857994       0.50729155318528141     
  0.15000000000000002        1.0000000000000011       0.19776821164382682       0.51619577292823560     
  0.20000000000000001        1.0000000000000016       0.19603799993014487       0.52829095885415023     
  0.25000000000000006        1.0000000000000009       0.19382066076833296       0.54324995268109444     
  0.30000000000000004        1.0000000000000009       0.19112158890290845       0.56070333381222637     
  0.35000000000000003        1.0000000000000004       0.18794735635505699       0.58026309265550025     
  0.40000000000000002       0.99999999999999922       0.18430569937248040       0.60154162000805955     
  0.45000000000000001       0.99999999999999845       0.18020550290637399       0.62416521683545878     
  0.50000000000000000       0.99999999999999789       0.17565678257248413       0.64778253102974759     
  0.55000000000000004       0.99999999999999689       0.17067066405173564       0.67206893304778070     
  0.59999999999999998       0.99999999999999556       0.16525935988644122       0.69672798232817335     
  0.65000000000000002       0.99999999999999456       0.15943614363069109       0.72149100991231774     
  0.69999999999999996       0.99999999999999301       0.15321532131817378       0.74611561258233683     
  0.75000000000000000       0.99999999999999223       0.14661220021739269       0.77038361837683766     
  0.80000000000000004       0.99999999999999045       0.13964305485296286       0.79409888699209286     
  0.84999999999999998       0.99999999999998912       0.13232509028258263       0.81708516261983299     
  0.90000000000000002       0.99999999999998779       0.12467640263281457       0.83918409654819781     
  0.94999999999999996       0.99999999999998646       0.11671593691365721       0.86025349229975068     
   1.0000000000000000       0.99999999999998446       0.10846344215275659       0.88016578698263825     
   1.0500000000000000       0.99999999999998312        9.9939423914820191E-002  0.89880676050757868     
   1.1000000000000001       0.99999999999998168        9.1165094298739882E-002  0.91607445319980152     
   1.1500000000000001       0.99999999999998035        8.2162319530727099E-002  0.93187826785184980     
   1.2000000000000000       0.99999999999997879        7.2953565292143807E-002  0.94613823161398780     
   1.2500000000000000       0.99999999999997735        6.3561839932605418E-002  0.95878439452226327     
   1.3000000000000000       0.99999999999997613        5.4010635722595457E-002  0.96975634383205689     
   1.3500000000000001       0.99999999999997513        4.4323868299771543E-002  0.97900281602841988     
   1.4000000000000001       0.99999999999997380        3.4525814466725431E-002  0.98648139109364508     
   1.4500000000000000       0.99999999999997247        2.4641048511950616E-002  0.99215825618551856     
   1.5000000000000000       0.99999999999997125        1.4694377252669127E-002  0.99600802828358426     
   1.5500000000000000       0.99999999999997002        4.7107740344372968E-003  0.99801362761446144     
   1.6000000000000001       0.99999999999996847       -5.2846880400580056E-003  0.99816619580411681     
   1.6500000000000001       0.99999999999996703       -1.5266903351222499E-002  0.99646505475304903     
   1.7000000000000000       0.99999999999996636       -2.5210801155229081E-002  0.99291770420872305     
   1.7500000000000000       0.99999999999996503       -3.5091412814053223E-002  0.98753985793405130     
   1.8000000000000000       0.99999999999996370       -4.4883938562506207E-002  0.98035552026322370     
   1.8500000000000001       0.99999999999996225       -5.4563813534289976E-002  0.97139710673087787     
   1.9000000000000001       0.99999999999996136       -6.4106772793480718E-002  0.96070561440494873     
   1.9500000000000000       0.99999999999995959       -7.3488915140153405E-002  0.94833084960313019     
   2.0000000000000004       0.99999999999995848       -8.2686765477323537E-002  0.93433172288188115     
   2.0500000000000003       0.99999999999995759       -9.1677335541215182E-002  0.91877662359485335     
   2.1000000000000001       0.99999999999995648      -0.10043818280948456       0.90174388893140622     
   2.1500000000000004       0.99999999999995559      -0.10894746741418888       0.88332238511417305     
   2.2000000000000002       0.99999999999995459      -0.11718400689953005       0.86361222120796477     
   2.2500000000000004       0.99999999999995359      -0.12512732867962920       0.84272561845973359     
   2.3000000000000003       0.99999999999995226      -0.13275772006906175       0.82078795967846907     
   2.3500000000000005       0.99999999999995226      -0.14005627577827068       0.79793904288699502     
   2.4000000000000004       0.99999999999995126      -0.14700494278660403       0.77433455970233189     
   2.4500000000000002       0.99999999999995082      -0.15358656252671296       0.75014780902862299     
   2.5000000000000004       0.99999999999995048      -0.15978491033454495       0.72557163669327085     
   2.5500000000000003       0.99999999999994982      -0.16558473213843980       0.70082055579210478     
   2.6000000000000005       0.99999999999994915      -0.17097177837831212       0.67613294272097013     
   2.6500000000000004       0.99999999999994960      -0.17593283516118424       0.65177311018693096     
   2.7000000000000002       0.99999999999994915      -0.18045575267223790       0.62803292062952432     
   2.7500000000000004       0.99999999999994871      -0.18452947087092939       0.60523241542898110     
   2.8000000000000003       0.99999999999994926      -0.18814404250962544       0.58371870485261113     
   2.8500000000000005       0.99999999999994926      -0.19129065351766719       0.56386212863942720     
   2.9000000000000004       0.99999999999994960      -0.19396164079690215       0.54604854573202566     
   2.9500000000000002       0.99999999999994926      -0.19615050747566046       0.53066669645474118     
   3.0000000000000004       0.99999999999995026      -0.19785193566702000       0.51809009838695652     
   3.0500000000000003       0.99999999999995004      -0.19906179677425720       0.50865404037637862     
   3.1000000000000005       0.99999999999995015      -0.19977715938172907       0.50262986534368781     
   3.1500000000000004       0.99999999999995015      -0.19999629476342642       0.50020043468977560     
   3.2000000000000002       0.99999999999995048      -0.19971868003425242       0.50144163459134461     
   3.2500000000000004       0.99999999999995037      -0.19894499896104847       0.50631422572241469     
   3.3000000000000003       0.99999999999995026      -0.19767714044181792       0.51466809160472360     
   3.3500000000000005       0.99999999999995004      -0.19591819465278881       0.52625780364316743     
   3.4000000000000004       0.99999999999995026      -0.19367244685424856       0.54076575865381782     
   3.4500000000000002       0.99999999999994993      -0.19094536883779009       0.55782801534054616     
